0;Paulo Roberto Cecon;619
1;Gláucia Maria Bovi Ambrosano;591
2;Maria do Rosario Dias de Oliveira Latorre;353
3;Jose Carlos Barbosa;328
4;José Roberto Pereira Lauris;297
5;Maria Emilia Camargo;279
6;Euclides Braga Malheiros;272
7;Ronir Raggio Luiz;266
8;Carlos Tadeu dos Santos Dias;249
9;Gauss Moutinho Cordeiro;245
10;Fabyano Fonseca e Silva;233
11;Edson Zangiacomi Martinez;222
12;Miguel Caldas Cueva;213
13;Jorge Alberto Achcar;206
14;Luis Felipe Dias Lopes;198
15;Adair José Regazzi;189
16;Luiz Carlos Wrobel;181
17;Carlos Alberto de Braganca Pereira;180
18;Guilherme Jordão de Magalhães Rosa;164
19;Jose Mario Martinez Perez;160
20;Joao Ricardo Sato;159
21;Lídia Raquel de Carvalho;158
22;Heleno Bolfarine;154
23;Pushpa Narayan Rathie;153
24;Sergio do Nascimento Kronka;149
25;Clarice Garcia Borges Demétrio;146
26;Ivan Balducci;145
27;Angelo Jose Goncalves Bos;141
28;Andrei Aleksandrovich Bytsenko;140
29;Peter Louis Antonelli;139
30;Francisco Régis Vieira Alves;139
31;João Manuel Ribeiro da Silva Tavares;139
32;Waldir Alves Rodrigues Junior;138
33;Claudianor Oliveira Alves;138
34;Claudia Benedita dos Santos;136
35;Jaime Edilberto Munoz Rivera;134
36;Pavel Shumyatsky;133
37;Victor Hugo Costa de Albuquerque;133
38;Glauber Henrique de Sousa Nunes;132
39;João Batista Bottentuit Junior;129
40;Rodrigo Ramos Catharino;128
41;Milton Rosa;128
42;Daciberg Lima Gonçalves;127
43;Sidney Rosa Vieira;127
44;Edwin Moises Marcos Ortega;125
45;Vyacheslav Futorny;124
46;Sidinei Jose Lopes;123
47;Ivan Barbosa Machado Sampaio;123
48;Geraldo da Silva e Souza;123
49;Ines Cristina de Batista Fonseca;122
50;Edmundo Capelas de Oliveira;120
51;Jose Antonio Cordeiro;119
52;Enrico Antonio Colosimo;119
53;Nelson Maculan Filho;118
54;Celso da Cruz Carneiro Ribeiro;116
55;Mauricio Guilherme de Carvalho Resende;115
56;Harold William Rosenberg;114
57;Eric Batista Ferreira;114
58;Ivan Chestakov;114
59;Denismar Alves Nogueira;113
60;Sani de Carvalho Rutz da Silva;113
61;Benar Fux Svaiter;113
62;Vando Edesio Soares;113
63;Celso Correia de Souza;112
64;Haroldo Fraga de Campos Velho;112
65;João Baptista da Silva;111
66;Marinez Meneghello Passos;109
67;Martha Maria Mischan;108
68;Ricardo Shitsuka;108
69;Julio da Motta Singer;106
70;Jayme Luiz Szwarcfiter;106
71;Cibele Comini César;106
72;Les Foulds;106
73;Antonio Sergio Ferraudo;106
74;Carlos José Pereira de Lucena;105
75;Francisco Cesar Polcino Milies;104
76;Sérgio Aparecido Ignácio;104
77;Raul Antonino Feijóo;103
78;Yuan Jinyun;102
79;Hyun Mo Yang;100
80;Basilio de Braganca Pereira;100
81;Gustavo Alberto Perla Menzala;99
82;Miguel Angel Uribe Opazo;98
83;Vladimir Pestov;98
84;André Carlos Ponce de Leon Ferreira de Carvalho;98
85;Maria Helena de Sousa;98
86;Claudio Landim;97
87;Rodrigo Leonardi;97
88;Paolo Piccione;95
89;Francisco Alberto Pino;95
90;Fernando Antonio Basile Colugnati;94
91;Carlos Tadeu Pippi Salle;94
92;Márcia Jussara Hepp Rehfeldt;94
93;Maria Imaculada de Lima Montebello;93
94;Aram Arutyunov;93
95;João Pedro Assumpção Bastos;92
96;Pedro Luiz de Oliveira Costa Neto;91
97;Marise Fagundes Silveira;91
98;Djairo Guedes de Figueiredo;90
99;Ronei Marcos de Moraes;90
100;Marcelo Tavares;89
